Key,Info,EN,TR,ES,ZH,JA,KO,RU,IT,FR,PT,DE
title,,Golfinity,Golfinity,Golfinity,Golfinity,Golfinity,Golfinity,Golfinity,Golfinity,Golfinity,Golfinity,Golfinity
kayabros,,Kayabros,Kayabros,Kayabros,Kayabros,Kayabros,Kayabros,Kayabros,Kayabros,Kayabros,Kayabros,Kayabros
hole,Golf hole,hole:,delik:,hoyo:,洞：,ホール:,홀:,лунка:,buca:,trou :,buraco:,Loch:
strokes,"Golf strokes, number of hits",strokes:,vuruş:,golpes:,杆：,ストローク数:,스트로크:,удары:,colpi:,coups :,tacadas:,Schläge:
on,"As in ""on/off"" in settings",on,açık,activado,开,オン,켜기,вкл,on,activé,ligado,ein
off,"As in ""on/off"" in settings",off,kapalı,desactivado,关,オフ,끄기,выкл,off,désactivé,desligado,aus
reverse,"Used in settings to turn on/off, reverse the finger movement to hit the ball.  Keep it under 20 characters.",reverse shooting:,ters vuruş:,golpe inverso:,反向击球：,逆撃ち:,반대로 슈팅:,обратный удар:,modalità speculare:,tir inversé :,tacada invertida:,umgekehrt schlagen:
back,"To go back from a menu, the back button",back,geri,volver,返回,戻る,뒤로,назад,indietro,retour,voltar,zurück
circleeffect,"Used in settings to turn on/off, the circle vfx that happens when you get the ball in the hole. Keep it under 20 characters.",hole effect:,çember efekti:,efecto del hoyo:,进洞效果：,ホール効果:,홀 영향:,эффекты лунки:,effetto buca:,effet de trou :,efeito de buraco:,Loch-Effekt:
terraineffect,"Used in settings to turn on/off, the terrain vfx that happens when the ball hits the ground. Keep it under 20 characters.",terrain effects:,yer efekti:,efectos del terreno:,地形效果：,地面効果:,지형 영향:,эффекты территории:,effetti sul terreno:,effets de terrain :,efeitos de terreno:,Gelände-Effekte:
outlines,"Used in settings to turn on/off, outline effect on the whole game. Keep it under 20 characters.",outlines:,dış çizgiler:,contornos:,轮廓：,輪郭:,윤곽선:,контуры:,contorni:,contours :,contornos:,Umrisse:
sound,"Used in settings to turn on/off, sound effects",sound:,ses:,sonido:,音效：,効果音:,사운드:,звуки:,audio:,son :,som:,Töne:
music,"Used in settings to turn on/off, music",music:,müzik:,música:,音乐：,音楽:,음악:,музыка:,musica:,musique :,música:,Musik:
laststroke,The distance made by the last golf stroke. Example: Last stroke: 50meters. Keep it under 30 characters.,last stroke:,son vuruş:,último golpe:,上一杆的距离：,最後のストローク:,마지막 스트로크:,последний удар:,ultimo colpo:,dernier coup :,última tacada:,letzter Schlag:
meters,{0} is a number. m is short for meters. The shorter the better.,{0}m,{0}m,{0} m,{0}m,{0}m,{0}m,{0} м,{0}m,{0} m,{0}m,{0} m
frombelow,Was the last stroke from a lower ground? Keep it under 30 characters.,from below:,aşağıdan:,desde abajo:,击球低于球洞：,下から:,아래에서:,снизу:,dal basso:,de plus bas :,de baixo:,von unten:
no,"As in ""yes / no""",no,hayır,no,否,いいえ,아니요,нет,no,non,não,nein
removeads,Remove advertisements from the game. Keep it under 30 characters.,remove ads,reklamları kaldır,eliminar anuncios,移除广告,広告を消す,광고 제거,убрать рекламу,rimuovi pubblicità,supprimer les pubs,remover anúncios,Werbung entfernen
removeadsdesc,"Keep this under 70 characters. What's important is, people pay REAL MONEY, not in game money. And it removes ads from the game.","double coins, no ads",reklam izlemeden iki katı altın kazan,paga con dinero real para eliminar los anuncios del juego.,付费移除游戏内广告。,課金してゲーム内のすべての広告を消す。,게임에서 모든 광고를 없애려면 실제 돈을 지불하세요.,заплатить реальные деньги и убрать всю рекламу из игры.,paga denaro per rimuovere tutte le pubblicità nel gioco.,paie de l'argent réel pour supprimer toutes les pubs en jeu.,pague dinheiro de verdade para remover todos os anúncios do jogo.,"Zahle echtes Geld, um alle Anzeigen aus dem Spiel zu entfernen."
restore,If you've made a purchase before you might want to restore that.,restore purchases,alımları geri yükle,restaurar compras,恢复购买,購入を復元,구매 복원,восстановить покупки,ripristina gli acquisti,restaurer les achats,restaurar compras,Käufe wiederherstellen
language,"The name of THAT language in THAT language. English, Español, etc.",English,Türkçe,español,中文,日本語,한국어,Русский,Italiano,Français,Português,Deutsch
store,Store text,"Simple, relaxing, addictive golf game with infinite amount of levels.\n\nIn this arcade golf game, you'll never run out of levels to play, and always have fun. Playing this game gets you in a zen mode, helps you relax, and enjoy your time hitting balls into holes while listening to relaxing music.\n\nHave fun with procedurally generated, random levels. This game doesn't force you to watch ads or buy things! Just good old fashioned arcade fun!","Sonsuz bölümlü, basit, rahat, bağımlılık yapıcı bir golf oyunu.\n\nBu güzel golf oyununda, asla oynayacak bölümsüz kalmayacaksınız ve hep eğleneceksiniz. Bu oyunu oynamak sizi zen moduna geçirir, rahatlatır. Deliklere top sokarken rahatlatıcı müzikler dinlemenizi sağlar.\n\nRastgele yaratılmış bölümlerle eğlenin. Bu oyun sizi reklam izlemeye ya da bir şeyler almaya zorlamaz! Sadece iyi vakit geçirmek için yaratılmıştır.","Un juego de golf sencillo, relajante y adictivo con niveles infinitos.\n\nNunca te quedarás sin niveles en este juego de golf de arcade y tienes la diversión asegurada. Este juego te pone en modo zen, te ayuda a relajarte y seguro que disfrutarás intentando meter las pelotas en los hoyos mientras escuchas música relajante.\n\nDiviértete con niveles aleatorios generados automáticamente. ¡Este juego no te obliga a ver anuncios ni a realizar compras! Es un juego de arcade clásico.",简单、轻松、令人爱不释手的高尔夫游戏，包含无限关卡。\n\n这款高尔夫街机游戏具有无穷无尽的关卡，并始终充满乐趣。玩这款游戏会让你进入禅定模式，帮助你放松，你可以一边享受高尔夫球进洞带来的快乐，一边聆听令人放松的音乐。\n\n畅玩由程序生成的随机关卡。这款游戏不会强制你观看广告或购物！只为带给你旧式街机游戏的乐趣！,シンプルでリラックスしながら夢中になれる、レベル数無制限のゴルフゲーム。\n\nこのアーケードゴルフゲームではプレイできるレベルが尽きることはなく、常に楽しむことができます。このゲームをプレイすると禅モードに入り、リラックス効果のある音楽を聴きながらリラックスし、ボールを打ってホールに入れるのを楽しむことができます。\n\n手続き的に生成されるランダムなレベルをお楽しみください。このゲームは広告の視聴や購入を強制することはありません！古き良きアーケードゲームをお楽しみください！,부담 없이 단순하게 즐길 수 있는 중독성 있는 게임으로 무한 레벨이 제공됩니다.\n\n이 아케이드 골프 게임은 레벨이 끝이 없으며 언제든지 재미있게 즐길 수 있습니다. 안정된 분위기의 이 게임에서 편안한 음악을 들으며 홀 안에 공을 넣다보면 마음이 평온해집니다.\n\n절차적으로 생성되는 무작위 레벨에서 즐거움에 빠져보세요. 이 게임에서는 의무적으로 광고를 보거나 구매할 필요가 없습니다. 올드 클래식 아케이드 게임의 즐거움만 선사합니다!,"Простая расслабляющая аркадная игра в гольф с бесконечным количеством уровней.\n\nУровни никогда не закончатся — а значит, играть можно сколько угодно. Эта игра приблизит к состоянию дзэн, поможет расслабиться, забивая мячи в лунки под звуки медитативной музыки.\n\nУровни игры создаются случайным образом с помощью специального алгоритма. Необязательно смотреть рекламу или что-то покупать — чистое аркадное удовольствие, как в старые добрые времена!","Un gioco di golf semplice, rilassante e coinvolgente con una quantità infinita di livelli.\n\nIn questo gioco di golf arcade, i livelli di gioco non finiranno mai, per un divertimento infinito. Dedicati una pausa con calma e comfort con questo gioco e manda le palline in buca mentre ascolti musica rilassante.\n\nDivertiti con livelli casuali generati proceduralmente. Il gioco non ti costringe a guardare pubblicità o comprare nulla! Solo puro divertimento arcade vecchio stile!","Un jeu de golf simple, relaxant et addictif avec une infinité de niveaux.\n\nDans ce jeu de golf d'arcade, tu ne manqueras jamais de niveaux pour t'amuser. Jouer à ce jeu t'aide à trouver ta zénitude, à te détendre et à passer du bon temps pendant que tu envoies des balles dans des trous tout en écoutant de la musique relaxante.\n\nAmuse-toi avec des niveaux aléatoires générés de manière procédurale. Ce jeu ne t'oblige pas à regarder de pubs ou à acheter quoi que ce soit ! C'est juste de l'arcade fun à l'ancienne, rien d'autre !","Um jogo de golfe simples, relaxante e viciante com um número infinito de níveis.\n\nCom este jogo de golfe de fliperama, você nunca fica sem níveis para jogar e se diverte sempre. O jogo lhe coloca em modo zen, ajuda a relaxar e se divertir tacando bolas dentro de buracos enquanto escuta música relaxante.\n\nDivirta-se com níveis aleatórios criados por geração procedural. Este jogo não lhe obriga a assistir a anúncios ou a comprar coisas! Apenas a boa e velha diversão do fliperama!","Einfaches und entspannendes Golfspiel mit unendlich vielen Levels.\n\nIn diesem Arcade-Spiel gehen die Level nie zu Ende und es macht immer wieder Spaß. Das Spiel versetzt dich in einen meditativen Zustand und du kannst dich erholen. Genieße es, bei entspannender Musik die Bälle in die Löcher zu schlagen.\n\nViel Spaß mit automatisch generierten, zufälligen Levels. Das Spiel zwingt dich nicht, Werbung anzusehen oder etwas zu kaufen! Einfach ein Arcade-Spiel wie in guten alten Zeiten!"
